SchoolNumber,Name,Address,ZipCode9,Phone,PrincipalName,GradeLevels,WebUrl,SchoolTypeDescription
490,Colorado High School Charter - GES,3037 E. 42nd Ave.,,303-955-5309,Liz Feldhusen,Grade 9 - Grade 12,,High
496,Venture Prep HS,2900 Richard Allen Ct.,,303-893-0805,Erin Quigley,Grade 9 - Grade 12,http://www.ventureprep.org/,High
497,Denver Justice High School,300 E 9th Ave,,303-480-5610,Stephen Parce,Grade 9 - Grade 12,http://www.denverjustice.org,High
498,KIPP Denver Collegiate High School,451 S. Tejon St.,80223-1928,303-922-5324,Kurt Pusch,Grade 9 - Grade 12,http://www.kippcolorado.org,High
499,RiseUp Community HS,1801 Federal Blvd.,,716-807-5200,Lucas Ketzer,Grade 9 - Grade 12,http://www.riseupcommunityschool.net,High
504,Denver School of Innovation and Sustainable Design,840 E. 14th Ave.,,720-424-2000,Lisa Sims,Grade 9 - Grade 12,http://dsisd.dpsk12.org,High
506,Respect Academy,2285 South Federal Blvd,,720-423-5228,Wauneta Vann,Grade 9 - Grade 12,http://respect.dpsk12.org,High
507,North High School Engagement Center,2960 N Speer Blvd.,,720-423-2700,Teresa Steele Thomson,Grade 9 - Grade 12,http://nec.dpsk12.org/,High
509,Montbello Career and Technical High School,4501 Airport Way,,720-423-7200,Karen Powell,Grade 9 - Grade 12,http://pushacademy.dpsk12.org,High
510,West Early College HS,951 Elati St.,,720-423-5300,Ana Mendoza,Grade 9 - Grade 12,http://westearlycollege.dpsk12.org/,High
511,West Leadership Academy HS,951 Elati St.,,720-423-5300,Teresa Klava,Grade 9 - Grade 12,http://westleadershipacademy.dpsk12.org,High
513,STRIVE Prep - SMART Academy,3201 W. Arizona Ave.,,303-962-9880,Joshua Smith,Grade 9 - Grade 12,http://www.striveprep.org,High
514,Denver Montessori Senior HS,4250 Shoshone St,,720-424-2600,Katy Myers,Grade 9 - Grade 12,http://dmhs.dpsk12.org,High
515,Compassion Road Academy,1000 Cherokee St,,720-424-2200,Kimberly Ortiz,Grade 9 - Grade 12,http://cra.dpsk12.org/,High
516,Excel Academy - Denver,1825 S. Federal Blvd.,,720-424-2250,Cynthia Navarro,Grade 9 - Grade 12,http://excelacademy.dpsk12.org,High
517,STRIVE Prep - Excel,2960 N. Speer Blvd., Bldg. 1913,,303-630-0360,Benjamin Lewis,Grade 9 - Grade 12,,High
518,DSST: Byers HS,150 S Pearl St,,-,Brad White,Grade 9 - Grade 12,,High
519,Northfield High School,5500 Central Park Blvd.,,720-423-8000,Amy Bringedahl,Grade 9 - Grade 12,http://northfield.dpsk12.org/,High
520,Girls Athletic Leadership HS,750 Galapago St,,303-282-6437,Carrie Donovan,Grade 9 - Grade 12,http://www.galschools.org,High
521,DSST: College View HS,3111 W. Dartmouth Ave.,,303-524-6320,Becca Meyer,Grade 9 - Grade 12,http://dsstpublicschools.org/,High
522,Legacy Options High School,6850 N. Argonne St.,,720-424-3100,Anthony McWright,Grade 9 - Grade 12,http://legacyoptionshs.dpsk12.org,High
523,DSST: Conservatory Green HS,11200 E. 45th Ave.,,303-802-4127,Adeel Khan,Grade 9 - Grade 12,,High
525,STRIVE Prep - Rise,18250 E 51st Ave,,720-485-6393,Elisha Roberts,Grade 9 - Grade 12,http://www.striveprep.org/school/strive-prep-rise/,High
602,Emily Griffith High School,1860 Lincoln St,,720-423-4900,David Daves,Grade 9 - Grade 12,http://eghs.dpsk12.org/,High
602,Emily Griffith Technical College,1860 Lincoln St,,720-423-4700,Jeff Barratt,-,http://www.EmilyGriffith.edu/,Other
604,Summit Academy HS,5590 W Evans Ave.,,720-424-2400,Bobby Thomas,Grade 9 - Grade 12,http://summit.dpsk12.org,High
605,Career Education Center Early College,2650 Eliot St.,80211-4711,720-423-6600,Jamie Lofaro,Grade 9 - Grade 12,http://dosomethingreal.com/,High
609,Vista Academy HS,4800 Telluride St., Bldg. 6,,720-423-7650,Anthony Smith,Grade 9 - Grade 12,http://vistaacademy.dpsk12.org,High
610,Denver Center for 21st-Century Learning at Wyman HS,1690 Williams St.,,720-424-2980,Renard Simmons,Grade 9 - Grade 12,http://dc21.dpsk12.org/,High
671,P.R.E.P. Academy HS,2727 Columbine St.,80205-3709,720-424-8451,Eric Rowe,Grade 9 - Grade 12,http://prepacademy.dpsk12.org/,High
673,Gilliam School HS,2844 Downing St.,80205-4412,303-291-8929,Wes Montoya,Grade 9 - Grade 12,,High
673,Gilliam School ES,2844 Downing St.,80205-4412,303-291-8929,Wes Montoya,K - Grade 5,,Elementary
673,Gilliam School MS,2844 Downing St.,80205-4412,303-291-8929,Wes Montoya,Grade 6 - Grade 8,,Middle
682,Contemporary Learning Academy HS,200 E. 9th Ave.,,720-423-6900,Sandra Just,Grade 9 - Grade 12,http://cla.dpsk12.org,High
707,ACE Community Challenge School,948 Santa Fe Drive,80204-3937,303-436-9588,Rachel Ramirez,Grade 8 - Grade 10,http://acecommunitychallengeschool.org/,High
750,Rocky Mountain School of Expeditionary Learning,1700 S. Holly St.,80222-3928,303-759-2076,Chad Burns,Grade 9 - Grade 12,http://www.rmsel.org,High
750,Rocky Mountain School of Expeditionary Learning,1700 S. Holly St.,80222-3928,303-759-2076,Chad Burns,K - Grade 5,http://www.rmsel.org,Elementary
750,Rocky Mountain School of Expeditionary Learning,1700 S. Holly St.,80222-3928,303-759-2076,Chad Burns,Grade 6 - Grade 8,http://www.rmsel.org,Middle
